Campaign,"Asset action","Sitelink Text","Sitelink Description 1","Sitelink Description 2","Final URL"
"CC | Perfume Árabe Masc | Search | BR","Create new","Qual comprar por perfil","Amadeirado, doce ou fresco","Ache o seu em 2 minutos",https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","Create new","Fixação e projeção","Quais duram 8h ou mais","Comparados lado a lado",https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","Create new","Como aplicar pra durar","Pontos de pulso e roupa","Rende mais sem gastar mais",https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Perfume Árabe Masc | Search | BR","Create new","É original mesmo?","Como identificar o genuíno","Antes de fechar a compra",https://comocomprar.com.br/melhor-perfume-arabe-masculino/
"CC | Extratora Estofado | Search | BR","Create new","Portátil ou barril","Qual formato serve pra você","Uso doméstico ou pesado",https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","Create new","Vale a pena comprar?","Compare com o preço do serviço","Se paga em poucos usos",https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","Create new","Como usar sem manchar","Passo a passo no sofá","Sem encharcar o estofado",https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Extratora Estofado | Search | BR","Create new","As mais avaliadas","Notas reais de quem comprou","WAP, Karcher e Vonder",https://comocomprar.com.br/comprar-extratora-de-estofado/
"CC | Depilador Luz Pulsada | Search | BR","Create new","Funciona mesmo?","O que esperar de resultado","Em quantas aplicações",https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","Create new","Dói? Como usar","Com resfriamento na ponteira","Passo a passo seguro",https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","Create new","Qual pele e pelo","Rende mais em pelo escuro","Veja se serve pro seu caso",https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
"CC | Depilador Luz Pulsada | Search | BR","Create new","Ulike ou MLAY","Comparativo entre marcas","Conforto, potência e preço",https://comocomprar.com.br/melhor-depilador-de-luz-pulsada/
