Campaign,"Asset action","Callout Text"
"CC | Perfume Árabe Masc | Search | BR","Create new","Fixação 8h+"
"CC | Perfume Árabe Masc | Search | BR","Create new","Comparativo independente"
"CC | Perfume Árabe Masc | Search | BR","Create new","74 mil avaliações"
"CC | Perfume Árabe Masc | Search | BR","Create new","Guia 2026"
"CC | Perfume Árabe Masc | Search | BR","Create new","Escolha por perfil"
"CC | Perfume Árabe Masc | Search | BR","Create new","Sem enrolação"
"CC | Extratora Estofado | Search | BR","Create new","Se paga em poucos usos"
"CC | Extratora Estofado | Search | BR","Create new","Comparativo independente"
"CC | Extratora Estofado | Search | BR","Create new","371 avaliações"
"CC | Extratora Estofado | Search | BR","Create new","Sofá, colchão e carro"
"CC | Extratora Estofado | Search | BR","Create new","Portátil ou barril"
"CC | Extratora Estofado | Search | BR","Create new","Guia 2026"
"CC | Depilador Luz Pulsada | Search | BR","Create new","Custa menos que clínica"
"CC | Depilador Luz Pulsada | Search | BR","Create new","Comparativo independente"
"CC | Depilador Luz Pulsada | Search | BR","Create new","Avaliações reais"
"CC | Depilador Luz Pulsada | Search | BR","Create new","Corpo e rosto"
"CC | Depilador Luz Pulsada | Search | BR","Create new","Com resfriamento"
"CC | Depilador Luz Pulsada | Search | BR","Create new","Guia 2026"
